ClientIP,ConfidenceScore,RealWorldRisk,Reason
178.64.238.222,30,Possible data exfiltration or large file download.,High data transfer per request.
178.91.154.153,30,Possible data exfiltration or large file download.,High data transfer per request.
179.11.123.206,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
179.181.145.163,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
179.192.152.151,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
179.194.149.14,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
179.91.216.203,30,Possible data exfiltration or large file download.,High data transfer per request.
18.16.173.107,40,Potential brute force attack or web scraping.,Unusually high request count.
18.20.7.134,30,Possible data exfiltration or large file download.,High data transfer per request.
18.51.222.213,40,Potential brute force attack or web scraping.,Unusually high request count.
180.104.33.29,40,Potential brute force attack or web scraping.,Unusually high request count.
180.202.126.248,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
180.77.73.174,30,Possible data exfiltration or large file download.,High data transfer per request.
180.93.25.82,40,Potential brute force attack or web scraping.,Unusually high request count.
180.95.116.205,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
181.120.248.8,40,Potential brute force attack or web scraping.,Unusually high request count.
181.122.204.150,40,Potential brute force attack or web scraping.,Unusually high request count.
181.213.103.91,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
181.231.251.140,40,Potential brute force attack or web scraping.,Unusually high request count.
181.37.150.112,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
182.111.112.86,40,Potential brute force attack or web scraping.,Unusually high request count.
182.132.136.162,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
182.217.53.140,30,Possible data exfiltration or large file download.,High data transfer per request.
182.47.225.35,30,Possible data exfiltration or large file download.,High data transfer per request.
183.107.249.124,40,Potential brute force attack or web scraping.,Unusually high request count.
183.131.230.62,40,Potential brute force attack or web scraping.,Unusually high request count.
184.140.47.102,30,Possible data exfiltration or large file download.,High data transfer per request.
184.157.144.188,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
185.0.128.177,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
185.132.82.197,40,Potential brute force attack or web scraping.,Unusually high request count.
185.197.137.16,0,No specific risk identified.,No clear reason identified.
185.200.193.25,40,Potential brute force attack or web scraping.,Unusually high request count.
185.24.37.122,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
185.60.226.17,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
186.245.150.252,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
186.52.216.32,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
187.109.49.123,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
187.173.74.222,40,Potential brute force attack or web scraping.,Unusually high request count.
187.58.154.169,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
188.171.224.41,40,Potential brute force attack or web scraping.,Unusually high request count.
188.29.58.252,30,Possible data exfiltration or large file download.,High data transfer per request.
188.53.41.114,40,Potential brute force attack or web scraping.,Unusually high request count.
188.7.232.223,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
188.88.15.76,40,Potential brute force attack or web scraping.,Unusually high request count.
1888:4713:5dbc:c9a:cdfb:9c0b:e3fa:c642,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
189.111.236.123,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
189.167.120.240,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
189.189.28.29,40,Potential brute force attack or web scraping.,Unusually high request count.
189.69.74.46,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
19.143.51.102,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
19.201.153.76,30,Possible data exfiltration or large file download.,High data transfer per request.
19.208.152.96,40,Potential brute force attack or web scraping.,Unusually high request count.
190.1.60.37,0,No specific risk identified.,No clear reason identified.
190.121.1.193,40,Potential brute force attack or web scraping.,Unusually high request count.
190.13.19.223,0,No specific risk identified.,No clear reason identified.
190.212.52.36,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
190.252.212.86,40,Potential brute force attack or web scraping.,Unusually high request count.
190.36.206.62,30,Possible data exfiltration or large file download.,High data transfer per request.
190.97.11.180,40,Potential brute force attack or web scraping.,Unusually high request count.
191.11.233.27,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
192.121.15.162,40,Potential brute force attack or web scraping.,Unusually high request count.
192.19.249.147,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
192.28.94.88,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
192.88.206.163,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
193.134.220.249,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
193.206.235.29,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
193.32.55.105,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
193.40.102.204,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
194.14.225.107,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
194.188.4.168,40,Potential brute force attack or web scraping.,Unusually high request count.
194.72.18.230,40,Potential brute force attack or web scraping.,Unusually high request count.
194.86.152.39,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
195.124.204.247,40,Potential brute force attack or web scraping.,Unusually high request count.
195.151.247.49,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
195.171.155.166,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
195.255.122.32,40,Potential brute force attack or web scraping.,Unusually high request count.
195.46.180.193,30,Possible data exfiltration or large file download.,High data transfer per request.
195.66.137.147,40,Potential brute force attack or web scraping.,Unusually high request count.
196.136.28.168,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
196.16.189.185,40,Potential brute force attack or web scraping.,Unusually high request count.
196.169.192.193,40,Potential brute force attack or web scraping.,Unusually high request count.
196.69.39.170,30,Possible data exfiltration or large file download.,High data transfer per request.
196.9.231.148,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
196.92.91.204,40,Potential brute force attack or web scraping.,Unusually high request count.
197.11.248.77,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
197.186.169.178,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
197.21.207.85,40,Potential brute force attack or web scraping.,Unusually high request count.
197.225.62.134,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
199.175.88.122,40,Potential brute force attack or web scraping.,Unusually high request count.
199.58.39.116,40,Potential brute force attack or web scraping.,Unusually high request count.
199.92.107.131,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
19c4:9d9a:19fa:fb74:bd9:7e19:679b:680e,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
19db:7575:3ece:e454:7083:8dbd:8efb:a791,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
1a5a:168a:cdb3:6358:c2ec:86c9:967d:9c3e,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
1b26:d001:b613:bc79:5a87:2a8c:3ee5:bf18,30,Possible data exfiltration or large file download.,High data transfer per request.
1c0:5857:32ac:a11:bd5b:37c6:1d7a:8514,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
1c4d:c71d:799d:18c5:3c66:8f77:513:4447,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
1e10:b50d:7ef1:43c8:c749:aa5f:812e:52cd,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
1f21:944a:4cb3:a6e9:4f91:9914:ebb4:9aa9,30,Possible data exfiltration or large file download.,High data transfer per request.
1f:d399:4ec8:7879:be76:aa60:1696:ec0e,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
2.120.100.180,30,Possible data exfiltration or large file download.,High data transfer per request.
2.182.7.204,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
20.166.147.45,30,Possible data exfiltration or large file download.,High data transfer per request.
20.186.223.8,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
200.0.128.177,40,Potential brute force attack or web scraping.,Unusually high request count.
200.253.252.246,30,Possible data exfiltration or large file download.,High data transfer per request.
200.82.129.47,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
202.125.229.126,40,Potential brute force attack or web scraping.,Unusually high request count.
202.144.224.0,30,Possible data exfiltration or large file download.,High data transfer per request.
202.206.239.71,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
202.227.255.87,30,Possible data exfiltration or large file download.,High data transfer per request.
203.229.135.110,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
203.39.149.177,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
203.87.92.123,40,Potential brute force attack or web scraping.,Unusually high request count.
205.248.208.46,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
205.34.95.79,40,Potential brute force attack or web scraping.,Unusually high request count.
205.82.2.7,40,Potential brute force attack or web scraping.,Unusually high request count.
205.90.91.175,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
206.0.66.76,40,Potential brute force attack or web scraping.,Unusually high request count.
206.110.116.182,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
206.228.108.158,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
206.242.241.175,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
207.155.78.213,40,Potential brute force attack or web scraping.,Unusually high request count.
207.250.194.83,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
208.150.99.181,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
208.37.140.164,40,Potential brute force attack or web scraping.,Unusually high request count.
208.56.210.58,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
209.158.28.49,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
209.165.152.20,30,Possible data exfiltration or large file download.,High data transfer per request.
21.166.16.150,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
21.23.45.210,40,Potential brute force attack or web scraping.,Unusually high request count.
210.158.41.76,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
211.30.40.173,40,Potential brute force attack or web scraping.,Unusually high request count.
211.32.135.92,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
212.140.206.101,40,Potential brute force attack or web scraping.,Unusually high request count.
212.141.245.15,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
212.195.103.225,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
212.235.132.100,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
212.29.173.81,40,Potential brute force attack or web scraping.,Unusually high request count.
212.38.130.214,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
212.96.94.50,30,Possible data exfiltration or large file download.,High data transfer per request.
213.106.189.251,40,Potential brute force attack or web scraping.,Unusually high request count.
213.14.52.122,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
213.16.161.176,0,No specific risk identified.,No clear reason identified.
213.161.33.87,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
213.167.103.42,40,Potential brute force attack or web scraping.,Unusually high request count.
213.181.29.91,40,Potential brute force attack or web scraping.,Unusually high request count.
213.29.44.149,30,Possible data exfiltration or large file download.,High data transfer per request.
213.33.35.231,40,Potential brute force attack or web scraping.,Unusually high request count.
213.46.138.241,30,Possible data exfiltration or large file download.,High data transfer per request.
214.161.80.103,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
214.6.221.0,30,Possible data exfiltration or large file download.,High data transfer per request.
214b:b52f:cb4c:47b5:f162:e1a3:7734:d5c,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
215.173.246.58,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
215.26.202.63,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
215.72.87.11,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
216.212.187.168,30,Possible data exfiltration or large file download.,High data transfer per request.
216.84.70.63,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
217.119.19.158,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
217.65.127.25,40,Potential brute force attack or web scraping.,Unusually high request count.
217.68.230.33,30,Possible data exfiltration or large file download.,High data transfer per request.
218.213.82.77,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
218.27.244.56,0,No specific risk identified.,No clear reason identified.
218.43.53.195,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
218.64.25.102,30,Possible data exfiltration or large file download.,High data transfer per request.
218.82.193.116,30,Possible data exfiltration or large file download.,High data transfer per request.
218.83.247.217,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
219.106.78.247,40,Potential brute force attack or web scraping.,Unusually high request count.
219.159.172.194,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
219.168.47.242,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
219.174.86.216,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
219.65.150.78,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
21b4:77d0:9632:fd54:fa27:ca68:e847:e68d,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
22.195.254.129,40,Potential brute force attack or web scraping.,Unusually high request count.
22.237.199.119,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
220.159.137.227,40,Potential brute force attack or web scraping.,Unusually high request count.
220.159.173.67,40,Potential brute force attack or web scraping.,Unusually high request count.
220.35.18.60,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
221.112.50.103,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
221.43.35.41,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
221.70.60.230,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
222.111.218.190,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
222.181.221.87,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
222.2.129.147,40,Potential brute force attack or web scraping.,Unusually high request count.
222.30.33.183,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
223.160.101.48,40,Potential brute force attack or web scraping.,Unusually high request count.
223.231.29.148,40,Potential brute force attack or web scraping.,Unusually high request count.
223.33.35.131,40,Potential brute force attack or web scraping.,Unusually high request count.
22b7:ad0b:53ed:8f3e:f5a2:e97:ca67:7daf,30,Possible data exfiltration or large file download.,High data transfer per request.
23.1.252.11,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
23.159.246.188,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
23.179.168.98,40,Potential brute force attack or web scraping.,Unusually high request count.
23.19.9.226,40,Potential brute force attack or web scraping.,Unusually high request count.
23.210.101.63,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
23.31.64.127,40,Potential brute force attack or web scraping.,Unusually high request count.
23.38.196.191,40,Potential brute force attack or web scraping.,Unusually high request count.
2369:b90d:2d56:67d8:2f30:dd86:7698:8291,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
24.105.146.28,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
24.118.153.202,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
24.203.45.79,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
24.9.1.238,0,No specific risk identified.,No clear reason identified.
24.92.37.16,30,Possible data exfiltration or large file download.,High data transfer per request.
25.104.196.129,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
25.195.20.94,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
25.242.208.139,40,Potential brute force attack or web scraping.,Unusually high request count.
25.80.51.61,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
26.158.117.152,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
26.193.54.91,30,Possible data exfiltration or large file download.,High data transfer per request.
26.249.70.42,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
26b:c15b:e2cf:729c:fc48:cae4:a898:a389,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
27.154.83.40,40,Potential brute force attack or web scraping.,Unusually high request count.
27.95.147.98,40,Potential brute force attack or web scraping.,Unusually high request count.
2789:11f8:fede:124e:a659:163a:73f9:f9f0,40,Potential brute force attack or web scraping.,Unusually high request count.
278e:2b72:5a3f:3c6e:f5c1:3f63:358f:91aa,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
28.239.195.50,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
28.75.189.25,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
28.97.51.202,30,Possible data exfiltration or large file download.,High data transfer per request.
29.134.230.139,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
29.245.45.240,40,Potential brute force attack or web scraping.,Unusually high request count.
29.32.225.146,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
29.52.2.76,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
2a14:bc0:ffcc:8460:ca06:fa45:ebed:942,40,Potential brute force attack or web scraping.,Unusually high request count.
2a2e:716a:2080:fb68:9d0:9f33:ed40:ca7b,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
2c0c:33c2:632e:7c48:f08d:62af:bdbd:12c3,30,Possible data exfiltration or large file download.,High data transfer per request.
2dc2:f926:d6ca:2a73:7cd8:625f:8c3f:3e70,30,Possible data exfiltration or large file download.,High data transfer per request.
2efa:c177:900e:1c66:f1f3:d8b8:980c:ab94,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
2f37:c023:385d:a4ff:70be:20cc:6da7:caf4,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
2f58:d6be:7438:10cd:c3bd:f8f9:14da:e76f,40,Potential brute force attack or web scraping.,Unusually high request count.
2f91:db08:4f60:7df6:8b17:3028:7d7e:72e8,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
2fc9:f1cb:15fa:c1b6:9f3f:aca7:e409:3556,30,Possible data exfiltration or large file download.,High data transfer per request.
2ff1:2dfd:55bd:c5c1:f42f:fbf5:277b:a69f,30,Possible data exfiltration or large file download.,High data transfer per request.
3.0.141.138,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
3.137.53.70,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
30.139.212.136,40,Potential brute force attack or web scraping.,Unusually high request count.
30.236.143.170,0,No specific risk identified.,No clear reason identified.
30.60.135.238,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
30.99.105.98,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
30bd:930a:a93b:666e:6446:3929:14cb:81e1,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
31.11.99.192,40,Potential brute force attack or web scraping.,Unusually high request count.
31.131.48.204,40,Potential brute force attack or web scraping.,Unusually high request count.
31.62.223.26,40,Potential brute force attack or web scraping.,Unusually high request count.
32.132.166.216,40,Potential brute force attack or web scraping.,Unusually high request count.
32.168.224.172,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
32.19.164.159,30,Possible data exfiltration or large file download.,High data transfer per request.
32.208.108.149,40,Potential brute force attack or web scraping.,Unusually high request count.
32.215.168.194,40,Potential brute force attack or web scraping.,Unusually high request count.
32.233.235.89,40,Potential brute force attack or web scraping.,Unusually high request count.
32b6:b61e:4e07:47e0:8ba7:9d4a:7f6f:ff1e,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
33.214.156.239,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
33.58.108.105,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
33.9.227.128,40,Potential brute force attack or web scraping.,Unusually high request count.
343f:c8a5:b86b:3356:b08b:8a14:9489:4a6b,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
34b8:c072:848c:420d:34fb:12bd:2b1a:59bc,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
35.103.90.162,40,Potential brute force attack or web scraping.,Unusually high request count.
35.158.52.1,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
35.161.108.63,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
35.220.236.173,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
35.249.80.251,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
35.28.42.23,40,Potential brute force attack or web scraping.,Unusually high request count.
35.96.80.127,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
3525:c947:236:b3cd:6dc7:2aba:9e04:994a,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
358e:c3da:c518:ea26:fd77:f74c:d4f5:2c09,40,Potential brute force attack or web scraping.,Unusually high request count.
36.190.204.30,30,Possible data exfiltration or large file download.,High data transfer per request.
36.195.165.17,30,Possible data exfiltration or large file download.,High data transfer per request.
36.239.236.76,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
36.38.198.212,30,Possible data exfiltration or large file download.,High data transfer per request.
37.107.220.15,40,Potential brute force attack or web scraping.,Unusually high request count.
37.167.69.122,40,Potential brute force attack or web scraping.,Unusually high request count.
38.46.182.77,40,Potential brute force attack or web scraping.,Unusually high request count.
38.90.38.169,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
38ef:e16a:42d0:3412:5277:d750:3dfe:fbd9,30,Possible data exfiltration or large file download.,High data transfer per request.
39.234.15.240,40,Potential brute force attack or web scraping.,Unusually high request count.
39.29.166.228,30,Possible data exfiltration or large file download.,High data transfer per request.
39.90.103.125,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
3d9b:ada2:4a86:7e29:9d53:20a7:2048:1cfd,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
